,Date,btc_close,link_close,zrx_close,yfi_close,uni_close,omg_close,eth_close,xrp_close,cake_close,comp_close,fil_close,vet_close,trx_close,doge_close,ada_close,zil_close,celo_close,crv_close,dot_close,algo_close,grt_close,rune_close,rvn_close,ftm_close
0,2020-01-02,6965.71,1.7366,0.1752,,,0.595,127.19,0.1875,,,,0.005094,0.01284,0.0019951,0.03269,0.00438,,,,0.2139,,,0.02299,0.01025
1,2020-01-03,7344.96,1.804,0.1821,,,0.6248,134.35,0.19338,,,,0.005327,0.01344,0.0020236,0.03417,0.00454,,,,0.2272,,,0.023,0.01035
2,2020-01-04,7354.11,1.8242,0.1864,,,0.6246,134.2,0.19305,,,,0.00562,0.01344,0.0020579,0.03434,0.00461,,,,0.2352,,,0.02291,0.01068
3,2020-01-05,7358.75,1.7957,0.1861,,,0.6367,135.37,0.19453,,,,0.005465,0.01353,0.0020696,0.0346,0.00463,,,,0.2294,,,0.02326,0.01051
4,2020-01-06,7758.0,1.9374,0.1958,,,0.6864,144.15,0.2231,,,,0.00573,0.01472,0.0021344,0.03732,0.00489,,,,0.2427,,,0.0241,0.01076
5,2020-01-07,8145.28,2.1033,0.1878,,,0.6706,142.8,0.21335,,,,0.005578,0.01434,0.002175,0.037,0.00481,,,,0.2303,,,0.02471,0.01035
6,2020-01-08,8055.98,2.1892,0.2133,,,0.6603,140.72,0.2075,,,,0.005492,0.01402,0.0020886,0.03631,0.00469,,,,0.2284,,,0.02417,0.01013
7,2020-01-09,7817.76,2.1886,0.2058,,,0.6373,137.74,0.20373,,,,0.005319,0.01398,0.0021282,0.03616,0.00459,,,,0.2222,,,0.02335,0.01009
8,2020-01-10,8197.02,2.2257,0.2026,,,0.6559,144.84,0.21284,,,,0.005454,0.01469,0.0021973,0.03693,0.00469,,,,0.226,,,0.024,0.01032
9,2020-01-11,8020.01,2.2734,0.2064,,,0.6701,142.38,0.21121,,,,0.005526,0.0146,0.0021754,0.03678,0.00465,,,,0.2264,,,0.02385,0.01007
10,2020-01-12,8184.98,2.2383,0.2182,,,0.6943,146.54,0.21539,,,,0.005523,0.01503,0.0021963,0.03792,0.00478,,,,0.2283,,,0.02399,0.01017
11,2020-01-13,8110.34,2.1901,0.2102,,,0.6669,143.58,0.21134,,,,0.005407,0.01464,0.0021704,0.03682,0.00467,,,,0.227,,,0.02361,0.00989
12,2020-01-14,8810.01,2.3751,0.238,,,0.735,165.64,0.23464,,,,0.005994,0.01677,0.0023581,0.04161,0.00507,,,,0.2296,,,0.02478,0.00944
13,2020-01-15,8821.41,2.3953,0.2459,,,0.7959,166.4,0.23367,,,,0.006003,0.01729,0.0023669,0.04275,0.00523,,,,0.2474,,,0.02685,0.00961
14,2020-01-16,8720.01,2.4925,0.2474,,,0.7749,164.21,0.229,,,,0.005885,0.01734,0.0023276,0.04168,0.00514,,,,0.2414,,,0.02631,0.00959
15,2020-01-17,8913.28,2.7006,0.2547,,,0.885,169.85,0.23921,,,,0.006392,0.01758,0.0024868,0.0449,0.00544,,,,0.262,,,0.02802,0.01004
16,2020-01-18,8915.96,2.7709,0.2455,,,0.8392,174.14,0.24357,,,,0.006239,0.01766,0.0025115,0.04489,0.00528,,,,0.2585,,,0.02736,0.01002
17,2020-01-19,8701.7,2.6212,0.2312,,,0.7998,166.79,0.23558,,,,0.005862,0.01665,0.0023982,0.042,0.00511,,,,0.24,,,0.02624,0.00958
18,2020-01-20,8642.35,2.688,0.2316,,,0.7829,166.87,0.23314,,,,0.005814,0.01661,0.002376,0.04378,0.0051,,,,0.237,,,0.02612,0.00947
19,2020-01-21,8736.03,2.6716,0.2415,,,0.838,169.49,0.23726,,,,0.005964,0.01732,0.0023673,0.04602,0.00512,,,,0.2482,,,0.02657,0.0096
20,2020-01-22,8682.36,2.6426,0.2425,,,0.8165,168.07,0.23733,,,,0.005863,0.01743,0.0023434,0.04575,0.00519,,,,0.247,,,0.02671,0.00954
21,2020-01-23,8404.52,2.4698,0.2283,,,0.7638,162.81,0.22586,,,,0.005607,0.01628,0.0022514,0.04318,0.00496,,,,0.2356,,,0.02558,0.00932
22,2020-01-24,8439.0,2.5024,0.2275,,,0.7754,162.54,0.22222,,,,0.00558,0.01639,0.0022698,0.04495,0.00494,,,,0.2316,,,0.02584,0.0094
23,2020-01-25,8340.58,2.4468,0.2242,,,0.7607,160.35,0.21946,,,,0.005623,0.01613,0.002251,0.04314,0.00494,,,,0.234,,,0.02592,0.00951
24,2020-01-26,8615.0,2.5764,0.2305,,,0.7905,167.86,0.23131,,,,0.00573,0.01684,0.0022854,0.04477,0.00512,,,,0.2378,,,0.02639,0.00965
25,2020-01-27,8907.57,2.6055,0.2316,,,0.8074,170.08,0.23077,,,,0.005748,0.01713,0.0023594,0.04796,0.00511,,,,0.24,,,0.02673,0.00964
26,2020-01-28,9374.21,2.6558,0.2316,,,0.8205,175.64,0.23906,,,,0.0058,0.0186,0.0024412,0.0529,0.00531,,,,0.2437,,,0.02736,0.00911
27,2020-01-29,9301.53,2.7773,0.2255,,,0.8402,173.72,0.23539,,,,0.005733,0.01866,0.0023865,0.05329,0.00552,,,,0.2405,,,0.02693,0.00876
28,2020-01-30,9513.21,2.9156,0.2331,,,0.888,184.69,0.24376,,,,0.005687,0.0195,0.002414,0.05614,0.00554,,,,0.2415,,,0.0277,0.00878
29,2020-01-31,9352.89,2.8259,0.2284,,,0.901,179.99,0.23946,,,,0.005766,0.01867,0.0023776,0.0539,0.00593,,,,0.2474,,,0.02746,0.00925
30,2020-02-01,9384.61,2.8378,0.2321,,,0.9168,183.6,0.24141,,,,0.005997,0.01907,0.002417,0.0561,0.00601,,,,0.2475,,,0.02784,0.00955
31,2020-02-02,9331.51,2.8267,0.2395,,,0.968,188.44,0.25093,,,,0.006229,0.01909,0.0024406,0.0557,0.0062,,,,0.2528,,,0.02846,0.00921
32,2020-02-03,9292.24,2.771,0.236,,,0.9721,189.69,0.25453,,,,0.006304,0.0192,0.0024156,0.05696,0.00624,,,,0.263,,,0.03062,0.00943
33,2020-02-04,9197.02,2.7395,0.2538,,,0.9776,188.91,0.26737,,,,0.006532,0.01925,0.0025169,0.05601,0.00683,,,,0.2804,,,0.03154,0.01007
34,2020-02-05,9612.04,2.839,0.2579,,,1.0358,203.78,0.27774,,,,0.006472,0.02076,0.0025826,0.05933,0.00688,,,,0.2753,,,0.03178,0.00994
35,2020-02-06,9772.0,2.89,0.2783,,,1.1183,213.19,0.28325,,,,0.0068,0.02271,0.0026654,0.06008,0.00745,,,,0.2884,,,0.03453,0.01064
36,2020-02-07,9813.73,3.3072,0.2776,,,1.1322,223.33,0.27953,,,,0.006817,0.02204,0.0027888,0.05987,0.00825,,,,0.3124,,,0.03634,0.01137
37,2020-02-08,9895.05,3.4171,0.273,,,1.1608,223.05,0.27735,,,,0.006669,0.02179,0.003171,0.06002,0.00751,,,,0.3074,,,0.03381,0.01057
38,2020-02-09,10151.75,3.4945,0.2959,,,1.1323,228.49,0.28257,,,,0.006825,0.02206,0.0032235,0.06188,0.00792,,,,0.3411,,,0.03411,0.01099
39,2020-02-10,9851.83,3.3862,0.2835,,,1.1236,222.89,0.27338,,,,0.00651,0.02216,0.0029663,0.06029,0.00756,,,,0.3585,,,0.03392,0.0108
40,2020-02-11,10223.08,3.9931,0.3025,,,1.1979,236.69,0.281,,,,0.007485,0.02272,0.00303,0.06335,0.00819,,,,0.369,,,0.03481,0.01141
41,2020-02-12,10326.46,3.9953,0.3109,,,1.2495,265.74,0.30427,,,,0.00747,0.02393,0.0030589,0.06817,0.00829,,,,0.3876,,,0.0371,0.01204
42,2020-02-13,10229.63,3.8765,0.3198,,,1.2846,268.32,0.32709,,,,0.008059,0.02391,0.0030132,0.06867,0.0081,,,,0.3494,,,0.03639,0.01193
43,2020-02-14,10344.36,4.426,0.3461,,,1.371,285.15,0.33594,,,,0.008301,0.02639,0.0031067,0.07074,0.00898,,,,0.3664,,,0.04027,0.01293
44,2020-02-15,9904.72,4.3241,0.3201,,,1.2868,264.88,0.30729,,,,0.00747,0.02364,0.0029031,0.06426,0.0081,,,,0.3349,,,0.03684,0.01157
45,2020-02-16,9917.27,4.4566,0.2984,,,1.182,258.85,0.29224,,,,0.007081,0.02223,0.0027522,0.06146,0.00774,,,,0.345,,,0.03526,0.0107
46,2020-02-17,9706.0,4.3108,0.2918,,,1.1726,267.85,0.28736,,,,0.006743,0.02179,0.0026999,0.06019,0.00744,,,,0.3299,,,0.03326,0.01042
47,2020-02-18,10164.71,4.5523,0.3073,,,1.1974,282.61,0.29827,,,,0.007058,0.02262,0.0028286,0.06274,0.00782,,,,0.3495,,,0.0347,0.01061
48,2020-02-19,9593.79,4.3873,0.2798,,,1.0986,258.45,0.27466,,,,0.006484,0.0202,0.0026085,0.05737,0.00691,,,,0.3476,,,0.03096,0.00979
49,2020-02-20,9596.42,4.2644,0.278,,,1.081,256.96,0.2709,,,,0.00649,0.0198,0.002653,0.05815,0.00725,,,,0.4342,,,0.03065,0.0093
